HS,PM,CODE
2,02,02
4,04,04
7,07,07
901,0901,0901-02
902,0902,0901-02
1006,1006,1006
1101,1101,1101
1501,1501,1501-18
1502,1502,1501-18
1503,1503,1501-18
1504,1504,1501-18
1505,1505,1501-18
1506,1506,1501-18
1507,1507,1501-18
1508,1508,1501-18
1509,1509,1501-18
1510,1510,1501-18
1511,1511,1501-18
1512,1512,1501-18
1513,1513,1501-18
1514,1514,1501-18
1515,1515,1501-18
1516,1516,1501-18
1517,1517,1501-18
1518,1518,1501-18
16,16,16
1701,1701,1701-03
1702,1702,1701-03
1703,1703,1701-03
1902,1902,1902
1905,1905,1905
2103,2103,2103
2201,2201,2201-02
2202,2202,2201-02
2203,2203,2203
2204,2204,2204-08
2205,2205,2204-08
2206,2206,2204-08
2207,2207,2204-08
2208,2208,2204-08
2401,2401,2401-03
2402,2402,2401-03
2403,2403,2401-03
2504,2504,2504-30
2505,2505,2504-30
2506,2506,2504-30
2507,2507,2504-30
2508,2508,2504-30
2509,2509,2504-30
2510,2510,2504-30
2511,2511,2504-30
2512,2512,2504-30
2513,2513,2504-30
2514,2514,2504-30
2515,2515,2504-30
2516,2516,2504-30
2517,2517,2504-30
2518,2518,2504-30
2519,2519,2504-30
2520,2520,2504-30
2521,2521,2504-30
2522,2522,2504-30
2523,2523,2504-30
2524,2524,2504-30
2525,2525,2504-30
2526,2526,2504-30
2527,2527,2504-30
2528,2528,2504-30
2529,2529,2504-30
2530,2530,2504-30
27,27,27
30,30,30
3208,3208,3208-10
3209,3209,3208-10
3210,3210,3208-10
3917,3917,3917
44,44,44
5208,5208,5208-12
5209,5209,5208-12
5210,5210,5208-12
5211,5211,5208-12
5212,5212,5208-12
61,61,61-62
62,62,61-62
63,63,63
68,68,68
69,69,69
70,70,70
84,84,84
85,85,85
87,87,87
9015,9015,9015
94,94,94
